col1,col2
7.947662,12.219968
11.329375,-0.08698705
5.8361945,12.522989
6.380645,-6.6421566
8.0083475,-6.492001
16.433746,3.487721
15.781635,6.009911
7.6997433,-7.0077477
8.504271,-3.8635833
6.627866,6.3305573
4.4352527,10.766644
7.1579137,12.727298
11.2141695,-0.12619938
4.388322,11.427069
11.888391,12.170951
13.607818,-3.8258302
5.1454663,11.1978445
15.465955,3.8606339
5.9338408,-2.438991
4.553353,11.364044
6.678502,12.036492
14.370368,12.96051
16.589,3.2819343
15.971574,2.517466
5.375019,10.621313
13.644823,-3.4838667
6.4756613,-6.4097824
11.393757,13.793712
5.058788,10.280462
5.2204432,11.668944
14.585257,12.812813
11.649066,-2.0254636
5.947435,12.567782
11.090524,-0.039399244
16.351974,3.606551
8.895473,-6.834786
16.008123,7.0172944
7.613979,6.814101
15.417957,4.758615
7.9228525,-6.792133
16.501863,1.8838953
8.185197,-7.4206805
7.2436595,12.960001
4.348523,10.763795
6.280482,-5.6054525
13.134054,-2.2450712
15.663992,6.250435
6.357168,12.830563
4.6958976,-1.6522491
11.272327,11.815327
13.272552,-2.8357465
11.329287,13.466087
7.815509,12.199595
5.4553213,-1.3882811
16.283146,2.8260758
12.822093,13.170132
13.385747,-3.1295214
16.224203,5.804203
15.786393,6.4402637
5.9434114,12.58127
8.446218,-3.9489193
14.355995,-4.1366653
7.915818,6.7249722
15.747941,3.7132154
13.193601,-2.3711712
6.013081,12.721164
15.42134,4.235001
14.589799,12.874942
5.2616973,11.573802
4.5639524,-1.5724404
7.7627006,12.052465
8.008016,12.074156
-1.8238436,5.3006864
7.520121,6.6566935
4.739641,-1.8790194
6.7133746,-6.2056274
8.803897,-6.7733665
5.2406497,11.6414
7.2906256,12.3309
13.706483,-4.287235
14.732413,12.866602
13.956743,12.652509
11.58616,13.648654
17.30825,2.3253443
5.6639957,-1.9284464
8.195336,-7.0114865
6.3396044,-6.648366
14.174282,13.031881
11.59978,-0.1769946
11.188981,11.238091
5.046487,11.73739
15.863099,7.185415
15.941985,7.274204
15.53296,4.7788763
5.9837756,12.33837
7.232637,12.198374
8.78275,-6.97363
13.717398,-3.5715888
15.348129,4.333111
4.8590555,-1.7494849
6.218012,12.434023
15.702485,4.2860627
13.819819,13.05264
14.347282,12.846028
12.824257,13.1317425
7.7045074,-6.0905075
11.411184,-0.10476093
11.82331,12.169442
8.031253,-6.1103835
15.258998,-3.813947
6.4188704,-6.30407
16.349892,4.0042
8.249073,-3.3791416
6.9556994,-6.863267
4.5491915,-1.5201178
12.443895,12.443548
5.885377,12.142934
7.732444,12.742794
14.915588,-4.3945985
13.704852,-2.765802
16.548464,3.0752249
11.885105,-0.5977917
5.7337165,12.487908
13.760433,-3.0428607
7.5823846,13.174205
5.97578,-2.4095457
14.454826,-2.9054868
6.4635205,6.442415
11.1821995,0.078681596
7.1052394,12.226937
16.424856,3.2372606
6.6573634,12.346019
16.051208,5.862619
7.2329655,-5.7610197
17.04215,3.0533435
8.441782,-3.9499676
-1.8161957,5.292791
14.040057,-2.844605
5.260579,11.702761
17.222382,3.176289
14.499266,12.866873
15.987768,2.665661
5.0282645,-1.4896549
15.786395,3.5539374
12.825051,13.200622
15.74956,6.7086806
11.498541,0.099194765
16.961796,2.5393245
7.208508,12.647076
11.025607,-0.48870477
6.187342,11.851441
6.3667474,-6.191843
6.8986306,11.903308
6.6573367,12.109518
14.504101,-2.9222968
7.528359,6.790089
13.828543,13.244901
7.236854,13.000342
14.061971,-4.389213
14.108947,-4.2295704
