col1,col2
30.620274,-7.712108
-48.222248,12.715313
28.431597,-21.590351
-50.65406,-22.825716
-36.348347,-20.864601
12.9891,34.035843
2.4736512,12.825756
-37.158234,-25.788893
-31.572374,-7.707344
-14.129139,-11.566901
21.276522,-45.39221
44.42037,-26.94766
-51.185932,12.522116
16.572962,-43.621216
50.786575,3.7619288
-29.572895,32.751392
19.138609,-35.21892
22.919321,32.146538
-24.959904,-42.944096
18.356455,-41.71047
20.922834,-13.653521
42.463734,26.754559
11.377389,37.48302
-2.8445673,29.438526
15.004574,-38.286953
-35.022568,27.038475
-47.60291,-25.255535
37.802746,4.1435595
11.113777,-43.072243
24.683287,-35.189804
40.604836,31.97768
-23.79385,4.762116
27.420206,-23.558203
-50.005325,11.585461
11.9416275,31.470499
-39.893692,-39.94938
-9.842294,15.581379
11.0570545,-13.506179
13.945794,16.47123
-42.93891,-27.220406
-7.377314,40.43663
-40.31995,-33.93845
47.20884,-25.380842
19.684814,-49.285385
-46.382496,-13.128262
-24.077944,17.019896
-1.7167937,15.387973
33.744614,-20.497746
-15.012196,-38.358658
54.726994,-2.563679
-26.527792,20.387121
42.587982,4.2135186
32.26371,-9.581059
-11.72837,-46.149094
2.2770517,33.537006
46.448544,10.788124
-31.74621,24.949778
-3.4901001,8.094663
-6.1404786,8.527901
30.105444,-22.681225
-33.312767,-8.898856
-38.29053,30.641417
10.2850065,-7.1437373
7.6747904,26.230337
-23.826485,19.156488
27.775227,-23.590427
11.570814,21.779474
45.125008,30.900246
25.410965,-37.369984
-14.428003,-38.54704
29.985647,-13.039749
35.102604,-13.341054
0.6863397,-33.47635
6.813845,-12.390272
-11.700671,-35.522453
-46.141953,-22.687216
-39.85188,-40.25509
24.68344,-35.189663
41.597603,-34.049797
-32.877487,37.166027
44.941334,32.697483
33.226513,26.64784
38.972244,1.1932551
3.8329308,44.490185
-17.715397,-44.716488
-45.73014,-31.99861
-50.94372,-23.334435
42.680508,24.298382
-44.823895,12.414113
53.442898,-12.069029
23.442505,-32.064217
-13.653328,11.659749
-12.101925,13.936202
16.71319,13.379679
31.029568,-25.994766
36.9321,-10.12871
-42.39081,-39.392616
-36.02055,27.8326
12.796218,22.307192
-17.677408,-37.291718
29.47862,-18.080578
17.070213,16.380718
41.590073,18.97154
39.838696,29.198849
45.92707,10.4719305
-33.759544,-19.382742
-46.794067,12.788132
55.10936,2.2866552
-31.312231,-22.045422
-45.16737,41.389847
-49.07703,-20.411112
11.00733,27.383307
-24.228514,-6.8817744
-57.39288,-8.852969
-13.328318,-39.05169
